text_akhir,label
kim jong un must insecure human history,-1
step brother another mother,0
look clappers forced,-1
north korea enough learn outside world bloody rebellion end power keep dark forever,-1
last mute film best choice knows made film,1
sister take,0
sister scary terrible behavior omg,-1
go affection kim jong un,1
dictator curse everyone,-1
rolled randomly attracted attention finally watched everything interesting well united documentary always make curious,1
thank namaste,1
sad see people clapping every time,-1
brainwashed north korea today,0
know something history know west years ago took claimed wanted something women families kim smart man right protect country made sure past appear,1
still alive,1
brutal communist past,-1
kim jong un holds power long calms hardlines government military,1
diddy entered chat,0
keep calling maid clearly,1
running drycleaners central america one knows,0
north korean citizen appropriate hopefully catch watching video comment confirm still alive,1
looks like chubby bob cat,1
want know winston smith crowd,1
warm diarrhea watching,1
pranking boom boom,0
american president running traveling without bodyguard call paranoir,0
nothing else experience youth day,0
laughed capital australia body built us ski park,1
never brother,0
michael parker lives john garland blvd,0
asi version hitler stalin,0
israel dictatorship us korea,0
like journalists say run dry cleanser central america way place identity mean say anything make living,1
girl put oil someone joke,1
north korean,0
known someone killed drop hat let barber alivegan,-1
want see one poorest countries world,-1
yup enough rothchild central bank enemy ignoring crime guantanamo bay fed bias us empire different send killer latin america good person want resources us debt came country killed sitting president,-1
god handle sister kim jung goes,1
really true people starving among terrible things countries need reformed,-1
north korean pigs,0
people see kim become like,1
matter us said unless met kim jong would judge trust anything,1
fat sit horse,0
feeling sorry horse,1
north korea fat ruler ampapanat citizens,0
chuzz,0
wonder pay,-1
know thinks directions go country end easier keep following already place continuing traditions hopes father father,1
adil,0
two women affected poison hands,-1
let play games try face gun supreme leader,1
royal decision sent message father kim jom eun signing sender message thai soldiers soldiers throughout world police commissioners police departments police generals generals santisuk thongwiset terrible operations nuclear throughout kingdom thailand countries around world kim jong un certification,-1
fat leader kim jong un haha stupid leader,-1
worm,0
everything fake really learning anything interview film lie kim,-1
sounds like dictator,1
really hope suffer many advertisements minutes mute advertisement pass ago,-1
families face rico accusations paying rock children bring illuminati freemason epstein network give back stolen,-1
best thing north korea corruption country like north korea,1
cello gripper dprk craxy,0
north korea world largest left cult california second,0
two girls deadly nerve agent hands exposed,-1
kim family lives us somewhere aunt uncle fled us,0
british usa eu killer dilemma,-1
intro funny,1
pig feed stalin communism,0
imagine family vilifying west hard sending education hatred really driven ideology shows kims sunbathing luxury absolute control country left kim il sung,-1
looks funny horse,1
national geographic animal,0
journalists put aunt uncle risk lie come secret ops,-1
video return almost every night fall asleep,0
know people people cheer cowards,1
kim jong un harassment fear north korea one formidable people hopefully overcome one day humans far fear,-1
see fake toys,-1
baby fatty kind sei shonen,1
someone help explain two women affected nerve agents wrap head around,1
chaotic tried reform would chance reformed immediately taking power continued walk along crazy path personality cult missed bus,-1
th largest military equipment ancient,0
american president afraid killed kim jong rasa yet closed north korean government dropped libyan government aherican government afraid kim jong un,-1
defending guy made fascinated one saw jong un prisoner father died said allowed leave nk would forever see behind shoulder brother killed,-1
trump wants,0
tomiyasu arsenal knife thrown,0
watch nba match paris wrote sentence,1
wow thin light kim jong looks different lol,1
killer said know thought joke like doubtful paid acted stupidly,-1
world nothing save slavery north korea united nations waste north korea world addressing,1
save people north korea,1
cooler clearer analysis north korea information data south korea,0
frighten,-1
need democratic candidate nk rise get american full support,1
kim tarie tarring,0
idk fall heart attack first horse rider lol,1
questions answered sent live switzerland sister sweet daughter leader,1
north korea exports regime run,0
felt bad poor horse forced run korean land whales back fat made many stupid mistakes provided comedy assistance world,-1
still get nerve agent woman hand killed kim jong nam,-1
extraordinary documentary film thank,1
think people like feel yes need sent,1
surprised horse could carry,1
feel sorry child,-1
call first lady,0
please name narrator,1
asi women,0
called wide burden cage,-1
thank sharing documentary youtube always number quality,1
ok name james first clear guide turn run literal life james riiight,1
careful god wrath greater anything imagine,1
uncle happy nephew shooting missiles us dictator hated united states copied everything,1
horse leveled load,0
friend first lady romantic,1
b north korean owner rich whole country,1
kim jong un dictator refused western regime fought abroad western democratic spread war countries,-1
displaying intellectualization process makes possible healing,1
north korean dilemma leader decided live hatred,-1
allowed hatred ignite existence,-1
south korea take north korea fight ukraine russia highlighted north korean army first soldiers thoughts mentally controlled look authority moving like mrs may skills battle sorry knowledge weapons everything know north korea knows line hold performances dictators power know war,-1
plot twist killed brother became next north korean ruler,-1
tailor afraid,0
grew watching national geographic religiously best,1
music beginning work music imagine using leaders countries look like darth vader,1
recorded,0
please spanish,1
sounds like borgia family,1
young woman knows,0
want know kim jong un seen document,1
real stories asi men women look lmao,1
message received,0
funny korean reunited,1
know kim jong un hot,0
covid made nk much worse bbc doc last year stated people dying hunger like capitalist regime scary communism,-1
nikola ever go north korea meet kim,0
kim like definition normal people play campaign rule world least pieces,1
watching documentary know north korea super strength country world usa afraid receiving christmas gifts,1
made almost vomit saw crying get picture,-1
years later n korea supplied russia help ukraine invasion,1
american version feel credibility,0
strong horse,1
nikola kova evi typical man always meets interesting person,1
mammers,0
want know really larger plot land,1
face hit,0
sure ai comments,1
catch video,0
poor horse strong,1
poor horse overload,-1
obesity north korean people starving,-1
kim must ashamed still come government deleted,-1
north korean propaganda,-1
legal country civil telephone watch cia system able useful cia interest systematic american subversion state level american state legitimacy,1
think north korea small country hungary europe viktor orbans empire deeper dictatorship,0
western media likes label rival cruel dictator often ignores chaos bad actors backyard,-1
north korea nuclear weapons,-1
tell legitimate country talk modern world,0
admit stepfar working cia operation painting monster neutralize threat strange biased,-1
kim jong cruel people enjoyed misuse christians wanted b god everyone worship korea collapsed,1
horse must exhausted,-1
think likely kill brother send message brother defect give bad information something else,-1
sounds like kim jong un character sister real threat,-1
thank,1
without china regime exist,0
three kim never travels plane,0
dropped salt dropped vinegar chaoshan people democracy sleep late lai,0
good general,1
want know advance kim ever seen whole country,1
horses suffer balm kkkk,-1
really worship possible people see faces brainwashed,1
extraordinary people beside kim weapons addressed right soldiers beside everything safety weapons outside lol window,-1
looks difficult,-1
sister scary like average character films,-1
north korea still trapped past,-1
kim true patriot man vulnerable anyone forget russian assistance follows american invasion coward,-1
everything dictator western leaders,0
children children,0
clapping beginning,0
give gas estebddator fear oh qc,-1
brother looked like,1
documentary really understand saying subject potus south korea pm appeared equivalent knew west cared appearance well made watery carrot faces intend make agreement,1
dark side majinboo,0
immediately countries made documentary us make one countries compared government done us suddenly foreign leaders seem bad believe sad say,-1
one day went death disappear different life maybe life forever us,-1
believe moment two women know happening inappropriate makers document pretend wannabe actresses,-1
jim king mber,0
bern said burn bearn like grizzly bear,1
way clapped sad felt bad north koreans,-1
even stranger one thumbs might bong,0
maybe kim jong un overweight might die heart attack end kim jon u n,-1
true fully guessing,1
escape bodyguard must make action film hollywood,1
national geographic usually shows right animal,0
hi sky,0
bad show people suffering camps children poverty total hunger showing fake nk outside fake city,-1
north korea would exist china china operates n k true document,1
extraordinary documentary film disturbing difficult understand regime manipulates people controlling every aspect lives separation shared defectors truly terrible important topic often ignored hope people watch understand gravity situation north korea,-1
dhruv rathi,0
believe something comes mouth western access control dictator,0
knows children stop,-1
watching people excited like scary robot,1
hate west nk bcoz enter nk unstable nk plant spys,-1
love kim,1
really leaving meeting kim jong un donald trump north korea,0
national geographic internet,0
get brazilian passport,0
sure nk secret service watching documentary read comments,1
years later answer nd,0
person part anyone nothing empowerment world power crow much anything show poorest,-1
eloy,0
never understand want cause pain suffering humans,-1
send west learn fix first house,0
women true know,1
one day roblox youtuber makes money entire country north korea,0
feel crazy place like north korea modern world,0
okay actually proof person operative yes think looks suspicious remembering situation proof,1
obesity real threat dictator,-1
doctor several years old getting worse,-1
idea kim jong un wants modernize country improvement people north korea seems difficult believe sure video sponsored nk government,1
good video good story thank friends friends,1
legitimate country state rogue strong first paint world see better carefully drag something want part,1
kim wife smiled looked kind happy fun interesting see sides,1
maybe daughter takes people people better chance better family,1
democracy north korea,0
propaganda propaganda,-1
eye openings,0
ruler north korea dna dna extracted north korea ryry,0
look destroy,-1
th largest military north korea considered terms power index last months big conflict,-1
really hope one day dprk people say quite isolated world even kim care hunger need get stop worshiping kim,1
nk documentary interesting,1
coach uncle kiket khorsid rabbani wasil jujge court andh yehia handling low design bihar,-1
uncle sons azam wakar najib farhan asif english played button ben stroke cricket hiju saddam last forgot,1
captain cricket,0
yes like hate small number yahiya bihar cm imtiz jalil mind meeting,1
less attractive,1
know accomplices clapping afraid,0
years prison lifetime,-1
raja jong un friend,1
go cleaner softer dictator bruh something like,1
extraordinary confusing people controlled free chaos,-1
kim jong un riding horse beginning made excited several reasons,1
girls know anything get poverty,-1
forget david skylark went north korea sat interviewed kim jong un face face,-1
got difficult day job,-1
indo people assassin,0
suggest makes king north korea emperor let parliament run country people,0
wow poor people,1
called bs girls girl exactly,0
sister scary smile,-1
kim jong il,0
korea war war north korea japan wins japan also enemy country developed ancient korea attacks imjin war since developed united states attacks pearl air strikes,-1
forget little man,-1
applauding olympic sport prevent medal,1
scary part people never change,-1
also see america afraid,0
curious kim old classmates meet kim reaction happen,1
seconds applaud die,-1
trump ready big red button,1
warlord dictatorship connected russia ukraine trump love letter putin trump palm like doll rope please help us peace healing accordance world people,1
two,0
delcome northstupidyland,0
like wife,1
well made sound like victim,1
america definition tf outta democracy,0
espa ol,0
baby oil crazy diddy,-1
dilemma many burgers eat every day,-1
update choose naughty country,0
imagine killed switzerland north korea might live different life today difficult believe anyone comes north korea really say proud country given conditions someone declares sentiment possibility closely connected regime,-1
born little born north korea thank giving birth south korea,1
masterminds elders support,1
new sitcom starring united nations mr ed,1
western propaganda,-1
k j u worst dictator ever seen world since adolf hitler monster oppressed citizens,-1
wow,1
play mini kim,1
mia hao crying crying,-1
tenth life,0
curtains serve teach sons putra father beto suna,0
first staircase bittuna sacrifices teacher,0
want accompany accident physiology sleeping,-1
supply monsio facilities,0
save soldier jabrael mikael amen,1
fact killed brother,-1
think know drama director gets inspiration,1
naval richard need soviet rules,0
national geographical propaganda,-1
believe un doll sister generals,0
five biggest troops top four military personnel equipment,1
happy boy sad boy,1
enter nervous agents prohibited allowed border,-1
kim go fight army country let see experience,-1
cultural dance performance god forget get shen yen complete falun gong propagandist holy rip happy harm nothing wrong,1
kim jong un sister whatever name died eyes without soul,-1
considered eric cartman,0
put deadly nerve agent hands women affect put faces people kill possible,-1
noticed show things like comments disappear,1
dictator cares security regime must collapse several points,1
mean say paranoid shows satellite imaging able spy,-1
girl lied,-1
people like dolls,1
good piece propaganda,1
believe south korean korean war cruelty north,-1
soon understand,0
kim yo worried getting xmas gift lol,1
correction trump asia mind,0
dictator died young th largest army ranked around,-1
th largest army ranked around,0
bodyguard made shudder,0
called bs female killer know poison interesting die wipe face touched body parts case people must careful whether baby oil immediately run bathroom disassemble wash touch body,-1
brother walked like dewa ohh mercy,1
criminal regime stops cleaning ethnic korean japan stops japan efforts north korea genosidation certainly bud,-1
brother scared kamala president would take care sister,1
least racist,1
snitches get stitches problem world,-1
choice continue along path done politicians said would happy lost position dictatorship part,1
horse rather strong lie,1
children cry,-1
like film interview,1
poor bangs must leg joint destroyed weight fatboi lowered,-1
purpose conjunction entered guidance injection rather shame,-1
watch sudan tv whether hand hand sister kim jong aden eats path,1
look brother happened brought kim jong army turned oil diabetes burned oil drinks,0
wow informative like,1
north korea hard heart understand surprise surprise biggest pop bob marley ditch fighters,1
america hard russian surprises disaster shocks tore underwear,-1
stop,-1
kim needs international arrest warrant issued crime humanity brainwash many people,-1
population million,0
uncle stated good media say kju well uh bad father grandfather,1
human,0
men ego always deadly destruction,-1
kim jong un looked always confused lost thank god even problems country still free say feel live want disagree certainly disagree without unpleasant hostile better us opponent mind,1
forget kim jong un laughed hand,1
us whole world okay bigger good corea uses social media like america tries describe vision care people follow social media influencers sound similar something else done us,1
statement bullshit like want ask script writer defines state legal nation right scare democracy capitalism,-1
feel sorry horse,-1
makes sad get rid let suffering normal person,-1
c key hat pree,0
great fat leaders use country wealth,1
paid video promotion north korea,0
good documentary,1
saw people commented without full watching videos,0
correct documentary examined served brilliantly thank,1
friends north korea russia china know maybe hates country get anything personally help,1
propaganda video propaganda regime,-1
person devil,-1
even though dictator never donated weapons illegal countries killed thousands children women like happened gaza fact whole world knows,1
track,0
similar navy sas seal unless combat experience,-1
imitator,0
sister raised head tall knew standing,0
however like national geographic way dennis rodman described making look unlike kim jung un see views leaders interviews think small propaganda hurt never seen something like portors criticized leader n korean,-1
nerve agents affect two young women,0
everyone es another place helps say anything,1
india,0
sir kim really really reach american law understands well kim good job,1
feel bad old north korean wasted lives,-1
years old seen,0
winner say,1
funny trunk chunky proud riding horse poor horse supposed walk know mean,1
brother sister worse yes know women find make opportunities sister heck blood family history shows us walking noble line follow tradition yes,1
hey journalist korean war end finished ceasefire battle stopped arms signed agreement signed ceasefire ceasefire korean war actually still active parties always ready,-1
years old interested kind documentary especially history governance countries,1
laughed first scene,1
wondered two women affected chemicals two different chemicals combined effectively,1
take people hire girls guilty,-1
kim good man,1
large jokes true us uk israel,1
head bullshit,-1
babi koe dilemma life life,-1
part,0
dictator please tell described west dictator information imperialism zionism dictatorship created west,1
documentary interesting scary time good documentary film sounds like scary person,1
killer straight lying knew exactly,-1
tramp rodman friends,1
wrong young assassin,-1
omg zombies still live north korea difficult believe north korea easy manipulate country actual criminal cartel,-1
yes garden shops restaurants etc special ones,1
ruler brutal dictator,-1
interesting see raised sad isolated child changing decision made adult shows many sides everyone remembering existence sister hidden long could imagine shown horror childhood,-1
assassin efforts malaysia airport pranskter indonesia know manipulated,-1
hope long young president,1
cameraman never died,1
friends best people trump chose convicted criminals,1
anyone really afraid korea,0
leave country want country western doll lose culture,-1
two girls knew exactly let free,1
pt,0
girls cry pictures,-1
anyone know hair gel used kim jong un,0
robin,0
hahaha little less,1
crimes paying way endless coming offshore effort apply offshore assets company without facial way appropriate increase profit margin war physical personal involvement directly hidden business relationship profits without relationships life value,1
funny thing one else speaks badly except europe europeans pay money hard believe,-1
kimmy bear lovely,1
believe know must reason believed fantasy story like,1
amazed convince north korea filmed,1
king von von vs nila monsters,0
north korea legitimate country situation defines north korea like gives nomenclature like funny thing west choose label country accordance ideas state hood say countries invalid,1
one word describe horror,-1
needs updated including oddities pigs,0
several times remember leader god wanted show strength evil people proud strength sent leader show evil people surprised time also believed given money stop showing strength knew could destroy without mercy talk anymore leader knew could destroy without mercy talk anymore leader knew could destroy without mercy talk leader knew could destroy without mercy talk anymore leader knew could destroy without mercy talk anymore leader knew could destroy without mercy talk leader knew could destroy without mercy want ask god detail kim god tells bad person people know doctor god good time,-1
disgusting,-1
people starving keep chinese border happy many dark things know joe rogan pod throws big eyes main,1
drove horse well,1
good joke,1
advertisement minutes really,0
dear god,1
sister runaway goat actions,0
cry crying,-1
ate food let sister,0
jesus christ way kim jong un,0
rvp,0
nzt,0
radioactive weapons,-1
social experiment,0
impossible understand mentality,0
nuclear weapon quote,-1
martin shkreli women,0
real life zuko,0
maga,0
quite impressive,1
nothing kim love katy perry margarita national geographic honeypotting,-1
body guard drives ford jeep,0
sister gave main azula vibration,0
little topic someone know music playing,1
female officer right smile,1
chinese say nk like dictatorial state slave true dictatorship serving jinn family,1
guinness book world records,0
zzzzzzzzzz,0
girls know kill someone incredible story children,-1
father citizens way works like rooster,1
want know north korean american criminal regime killing millions people,-1
wrong,-1
harmony west dictator,1
make assumptions many assumptions,0
like watching national geographic videos quality videos voices superab wow amazing see always support,1
kim must learn singapore run country dictatorship still loved western countries,1
story interesting taken leaders whole country strength preserve sheep cow chickens fish feed teams people,1
man maroon shirt sounded like young donald trump,1
believe girls killed nam innocent really believed joke seeing dictatorship past years think kim family would rule three generations,-1
poor north korea choose born parents,-1
south korea including hopes new rulers north may pursue peaceful constant relations us experiences european countries certainly,1
kim jong sister beautiful,1
united states must worry receiving christmas prizes us kim jong hun,1
initially looking clapping,0
national geographic trusted anymore media platform captured,1
bet,0
know hand deadly bull,1
must like western propaganda want know truth kim jong un north korea never find hands western propaganda machine colonizes,1
kimmy enjoyed,1
kimmy j g straight,1
sure eat political prisoners,-1
oii really buar,0
really,0
salute men national geographical staff make document best best documents ever,1
sorry,-1
combining small snippets effective narrator,1
lol government office following gondola tell go,1
kim japanese speaks japanese smoothly,0
see congratulations sister plan,1
observation north korea kills brothers betrayal crime united states years hang juli assange president day small crimes democracy,-1
hate ppl given hidden identity journalists like run special shop look exactly like come,1
sister remind women rush hour,0
kim yo jung trust idk,1
bgm intro name,0
incredible story,0
unfortunately president kim jong un please send missiles south korea near future want watch kim ji seo ya ji dahmi iu kim hyun many south korean actors like kdrama please read comment hahaha send missile south thank,1
unfortunate horse might ask born horse n korea,-1
face expression sister looks messy like glued something,0
large countries criminal cartels north korea united states criminal cartel fooled countries founded theft crime one example,-1
documentary like,1
suthematics alkohol,0
horse rising front broncos season opening,0
bye bye kim,0
really need pray oppressed countries,-1
outside north korea mean setbacks crime poverty utopian diversity nonsense,-1
kim jong nam murder reminds biblical cloth abel,-1
us much worse,-1
looks full distrust hatred,-1
north korea might designated pawn world power,0
old documentary still change think part propaganda us feel sorry highest leaders terrible justify years terror,-1
witcher dlc,0
joke bro prank,1
imagine experience world europe developed returned country trapped country see morning mirror exercise haircut,-1
younger sister cianjur looks like,1
cia behind everything,0
types roots come,0
tedi need binoculars,0
unfair bias attitude world hates true violators wada revealed doping violations come us australia fr people must ashamed mainstream media shame shame,-1
poor horse first might shoot every time climbed,-1
facts bro goyang js crazy,-1
name zaid,0
person man visit kenya africa drink tea,0
thank god born north korea,1
n k th troops world jesus,0
mind devil,-1
airport,0
daughter first woman showed beginning,0
like clap lol,1
like clothes,1
omg many restrictions feel like watching video break law north korea,1
seems legitimate documentary kim,0
strength total control mastering,1
poor horse bear large pork,-1
american original enemy america,-1
years later given strength bring n korean modern era never give absolute strength,1
shameful,-1
abandoned wonder countries isolated world complete psychological thing control ask country leave,-1
kim jong nam son think hiding staying low profile,-1
tang na mooooo n kooooo reee aaaa,0
cousin appear eating food look like missed lot food one thing generous people anything,1
much better leader leading tel aviv,1
believe north korea communism experiment way follow death world allows venezuela become next north korea american continent sad venezuela free,-1
obama next democratic dictator rd term trying,0
want know house like embassy road chevy chase dc amigos christ,1
truly extraordinary kind thing still exists modern world poor people north korea,1
age country dust,0
believe wow haha fact simulation,1
real,0
nerve agents kill girls placed hands,-1
dprk modern legal country closely related global south america declining empire,1
brother looks evil,-1
north korea still dictator daily anyone explains,0
check facts ordered th largest military personnel strength ability tried military thin weak hunger lacking parts skills etc fooled statistics united states military tried tested powerful world believe goggle want,1
must say name least times time,0
extraordinary north korea never invaded country knew never caused changes regime everywhere left millions people widows orphans countries africa asia middle east forever palestine however north korea criminal regime,-1
christmas gift talking actually covid china blamed,-1
korean war never officially ended north south korea signed ceasefire building ceasefire years ago weapon created korean demilitarization zone dmz armed region world,-1
eric cartman asi look like,1
sickening right,-1
anyone acts country plan reveals secret always pay price ask assange snowden navalny america makes look like accident demanding someone criminal case mean,-1
people starving enjoy lives,1
butter cup,0
movie made bad haircut,-1
kim jung un evil things forgive fact kim jung un taught young age father things,-1
neck appeared,0
fact man sends body guard kim jong un expertise navy seal told know anything military ugaogry,0
kim yo jung grow gotham underground world,0
anxious lies head wearing crown,-1
kim gold chain,0
lie kim jong un biggest north korean leader history,0
unfortunate horse bro,-1
everything said country north korea rogue also applies us international scale,0
get worse,-1
kim problem expects everyone everything properly even though give person knowledge equipment training diktatatorshipping soul,-1
look incredible teeth,0
kim wants play basketball abroad,1
interesting insight dynamics north korean leadership modernization efforts,1
book lice,0
joke bro,1
spy chinese russia us reason still power,0
neutral politically,0
lies western countries thing dr kwame nkrumah many african leaders overthrow ghana people ignored doll leader say dictator,-1
beat lowkey,0
reminder trump loves person,1
interesting watch entertaining informative thank nat geo,1
even applauded korean,1
one little girl cry smile stand,-1
true ncie one watching documenter area,1
kim code islam myfitijy killed teloxreniteiji vexabia,-1
brother watched time goes connected cia smart cia protect,1
first seconds video like try laugh,1
hearts leaders like person,1
watching video interviewing teenage friends realize west understand dynamics ego oriental men level competitive hidden competitive nature hide needs always culture promotes narcotics gives dangerous type psychopath hollywood star,1
sir thumb pose ,0
beginning film never felt bad horse throughout life back might come quickly,1
comment,0
oh gosh dared hide global supervision globalist agenda,-1
enjoying life yes supreme leader kim jong un tells us really enjoy life,1
must said poor seniors accepted retirement,-1
wondered journalist found aunt uncle identity hidden,0
security details suit look bad want learn tunnel network escape route sounds interesting,1
agung thank sub titles look forward canada,1
let governments appear like,1
busy ends hell god,-1
see passport brazil josef pwag brazilian embassy praha fake document,-1
noticed never heard man voice watching documentary,0
interesting story video began think kim jung un childhood personality impossible function normally initial point far point,1
wore jordans bulls equipment child explaining let dennis rodman visit,0
kim jon un sister bit good maybe better see explosion f,1
never trust american documentary films foreign place,-1
bilo bal everywhere even department uncle kim jong,0
even handsome fit hair looks like mutated animals,1
imagine man used kill brother jailed ruling people escape,-1
fat man know fat man ride horse,0
hate kim jong un might spell name wrong care worst,-1
guys woke video played screen,1
kim yo jong hot think tight,0
documentary try make look like humans wow baby oil acting shooting prank malay sound exactly english really incidentally really basic words like language,1
people respect afraid,1
oil north korea sorry people,-1
tn ping pong freeto letak dryden virginia,0
poor horse might think drive,-1
us must worry receiving christmas gift us cold bone,0
practiced baby oil event man way run away type operation shows much actually involved offered lot money wanted encourage fraud narratives lot hidden funds long time places kim grew rich geneva lived family us actually,1
going school switzerland almost life research,0
pig riding horse,0
stupid two bixes,-1
best doctor ever seen nk,1
kim jong un sister little,0
went swiss true water,1
okay makes everything better,1
give clues aunt uncle including business especially happened brother,0
nat geo never disappointed,1
un truf love,1
hai life,0
small brat spoiled innocent simple like mind sad power done ppl,1
excessive language lack context document almost funny course man paranoid cia lol may crazy feel way seems like made like decade ago bias content less common time,1
world ventilation,0
crazy cooperative north korean crash victim kim jong un family conglomerate,-1
brother,0
north korea president government regime evil act like god god heaven strong president north korea government hopefully god power attacks government behalf lord jesus christ,1
kim,0
fifa x ten,0
kim jong un also annoyed afs gathering,-1
know someone long time ago saying someone must take eyes time removing thorns people help first take problem solved maybe talk others,1
heard listened katy perry,0
fifth generation double fluid reactors many charges take nuclear waste must receive waste five generation power plants,-1
strange feel brother hot,-1
fact dictator western leader west always calls dictator leaders countries oppose western system western dictatorship western us killed millions innocent people around world try best hide crime pretend todocumentary western brutality anything zionists,-1
joe biden say reptile tell us however un great leader proud,1
chung min lee father tms queens ny druski home,0
know studies west education system confirm professors west deserved seems get good number guest lecturers,1
clearly also ordered strongest horse worst planets,1
really cruel like,-1
interesting documentary kim jong un thank,1
us country angels let ask mr assange,0
outside topic amazing horse thank video,1
north korea never tighten belt right kim,0
king g cupcake,0
classic western sweet tongue propaganda,1
trump kim good friends scary,1
like criminal,-1
best kim jong un president,1
imagine poor wife must sleep maniac tubby thinks god,-1
nonsense,-1
complaining female rigkht area van llc everi llc liked llc controls yur house king years fores thalyking llc atteni father,1
men play psycho child,1
americans always ppl business,0
implies kim speaking different language besides korean,0
kim jong psycopathsfamily,0
remember john malkovich mind watch,0
watched video times still help laugh come scene everyone immediately holds hands start writing delay leader ordered,1
happy learn thx,1
kim greed,-1
god bless north korean people,1
baby sister,0
otto warmbier,0
cameraman still alive,1
presentation influence way think north korean leadership national geographic propaganda,-1
stop lying,-1
nk really likes clap,1
adam,0
talk bad staff strongly agree hypocrisy,0
first,0
lakh lakh lakh,0
eye green eye hawker im,0
frometh ale ax bent leathers,0
hi sir,0
buy realize look confused went carefully holiday car question asked producer joke failed said first time never curious see well show buy,-1
android,0
pentagon trust also heard tube,1
kim yo jong cold look,0
question long kim yo jong hold cupcake brother,0
news media sells location iraq rang,0
fairy tales idiots,0
good place cheap propaganda,1
kim idiot,-1
love uses philips monitor,1
thank national geographic,1
one security stops,1
everyone likes clap,1
military bases around world pointed fingers calling people names,0
previous mistake transferred preset could blame man far,-1
wait channel also shares documentary film dangerous creatures,-1
hope national geography one netanyahu,1
idk look like person vs work inside sure,1
sister took,0
going inspector bend nsa lag played,0
anna good woman speak interesting,1
know kim image distorted wants country grow stability prosperity north korea kill country try occupy america supports terrorism,-1
free women let pray millions innocent people trapped,1
really unacceptable precise let children become children least gentle age brainwashing brains shed fake tears even funny far sad watch,-1
want know wife bowed sister,1
think evidence prove tunnel connected china actually lead chinese stereotypes opinion,0
brother law secret full dictators biggest counterattack america buy cia balls cia lied cia kills trusted want america korea k half unclear kim family get white logg country environment defeated us navy hitler failed girl kimos miracle god miracle evidenced korea damage need jewish bible write new true agreement us devil took country family faith attacked brought yes szak korean dictatorship dictate love west bud s wild holiwood propaganda dream cross rats,1
back horse turn u,0
national geographic really omg low interest far good luck observe believe spend time better words,1
seems unreal feel sad north koreans,-1
extraordinary jokes people people know applause smile adequately disappear forever people experience false feelings,1
let come true person thinks nk naughty west america one else cares,1
north korea karen free since,1
isolated full puzzles cruel nation governed cruel dictators still survive modern times countries mentality running example libya iraq etc government one family gone,-1
although fan trump least openly humiliated strongly criticized kim jong un immediately went visit directly see something say,-1
truly,1
bad north korean regime really understand choose close country,-1
existence justifies western world even dirty qualifications criticize others,-1
speak english,0
let go straight national geographic says woman deadly nerve agent killing target fine affected deadly agent hand,0
mr un terrible things accused several reasons first moral mind comprehensively trying violate relatives second candidate position chairman even announce intention become candidate considered position third men died calling us capitalist countries tourist visas limit candidates state military service professional visa owners students countries think last dog need blame someone party works good country low people believe exact foreign agent called cheap dog,-1
dictator,0
north korea free world actually prisoner country,-1
kim jong un still working streets switzerland ive meets good relationship mean well child relationship client always wants hug facts gentle touch manwhore,1
friend applaud,1
gave vibration main character yatim,0
america saw channel like content,1
strange two girls handle kind poison nothing happens know done also killers,-1
