text_stopword,text_akhir,label
"['poor', 'horse', 'horse', 'year', 'old', 'searched', 'kim', 'jong', 'un', 'kilo', 'grams', 'poor', 'horse']",poor horse horse year old searched kim jong un kilo grams poor horse,-1
"['poor', 'horse', 'kim', 'jong', 'un', 'pounds']",poor horse kim jong un pounds,-1
"['never', 'saw', 'pig', 'horse']",never saw pig horse,0
"['brilliant', 'beautiful']",brilliant beautiful,1
"['riding', 'horse', 'hilarious']",riding horse hilarious,1
"['wondering', 'reporter', 'still', 'alive']",wondering reporter still alive,0
"['came', 'vice', 'channel', 'guy', 'film', 'video', 'korea', 'said', 'take', 'phots', 'film', 'directly']",came vice channel guy film video korea said take phots film directly,0
"['billion', 'get', 'information', 'sell', 'knows', 'price']",billion get information sell knows price,0
"['modern', 'lies', 'adjusting']",modern lies adjusting,1
"['weak', 'regime', 'fall', 'days', 'internet', 'enters', 'country', 'dictators', 'last']",weak regime fall days internet enters country dictators last,-1
"['fat', 'person', 'n', 'korea', 'raise', 'suspicions', 'starved', 'population']",fat person n korea raise suspicions starved population,0
"['knowing', 'bern', 'accepted', 'pupil', 'absolutely']",knowing bern accepted pupil absolutely,1
"['albania', 'exact', 'form', 'dictate', 'something', 'end', 'nobody', 'right', 'decide', 'people', 'fate', 'direct']",albania exact form dictate something end nobody right decide people fate direct,1
"['bunch', 'pf', 'brainwashed', 'people']",bunch pf brainwashed people,0
"['dictator', 'obsession', 'seen', 'riding', 'horse', 'needs', 'studied']",dictator obsession seen riding horse needs studied,0
"['hi', 'dear', 'hope', 'fine', 'keep', 'gote', 'sheep', 'zubair', 'khan', 'marketing', 'take', 'care']",hi dear hope fine keep gote sheep zubair khan marketing take care,1
"['theres', 'many', 'ads', 'video', 'c', 'ntent', 'frustrating', 'better']",theres many ads video c ntent frustrating better,1
"['kim', 'worse', 'father', 'grandfather', 'know', 'people', 'think', 'chance', 'going', 'change', 'anything', 'get', 'people', 'thought', 'took', 'like', 'years', 'guy', 'monster']",kim worse father grandfather know people think chance going change anything get people thought took like years guy monster,-1
"['kim', 'young', 'one', 'tough', 'cookie']",kim young one tough cookie,-1
"['slandering', 'kim', 'yo', 'jung', 'proof', 'ordered', 'killings']",slandering kim yo jung proof ordered killings,0
"['sought', 'political', 'asylum', 'living', 'anonymous', 'running', 'drycleaners']",sought political asylum living anonymous running drycleaners,0
"['blame', 'past', 'others', 'ruled', 'blame', 'kid', 'parents', 'geez', 'perfect', 'accomplished']",blame past others ruled blame kid parents geez perfect accomplished,1
"['clap', 'clap', 'entire', 'life']",clap clap entire life,0
"['women', 'knew', 'exactly', 'least', 'knew', 'wasnt', 'prank']",women knew exactly least knew wasnt prank,-1
"['propaganda', 'communist']",propaganda communist,0
"['pretty', 'fat', 'boy']",pretty fat boy,1
"['people', 'starve', 'looks', 'like', 'bloated', 'tick']",people starve looks like bloated tick,0
"['one', 'must', 'buy', 'documentary', 'ppl', 'try', 'everything', 'discredit', 'n', 'destroy', 'others', 'leaving', 'happens', 'country', 'rot', 'corruption', 'country', 'discussed', 'speak', 'ill', 'mr', 'kim', 'africa', 'love', 'nk', 'go', 'n', 'fool', 'nk', 'laws', 'deal', 'go', 'country', 'n', 'fool']",one must buy documentary ppl try everything discredit n destroy others leaving happens country rot corruption country discussed speak ill mr kim africa love nk go n fool nk laws deal go country n fool,0
"['sister', 'worried']",sister worried,0
"['abour', 'nex', 'gen']",abour nex gen,0
"['th', 'largest', 'military', 'laughing', 'loud', 'yeah', 'right']",th largest military laughing loud yeah right,0
"['guy', 'died', 'oil', 'nerve', 'agent', 'come', 'girls', 'harmed', 'hands']",guy died oil nerve agent come girls harmed hands,0
"['kim', 'jong', 'un', 'insecure', 'human', 'history']",kim jong un insecure human history,-1
"['helf', 'brother', 'another', 'mather']",helf brother another mather,0
"['look', 'forced', 'clappers']",look forced clappers,-1
"['north', 'koreans', 'learn', 'enough', 'outside', 'world', 'bloody', 'revolt', 'end', 'power', 'keep', 'dark', 'forever']",north koreans learn enough outside world bloody revolt end power keep dark forever,-1
"['last', 'minutes', 'movie', 'best', 'choice', 'knows', 'made', 'movie']",last minutes movie best choice knows made movie,1
"['sister', 'going', 'take']",sister going take,0
"['sister', 'scary', 'monstrous', 'behavior', 'inside', 'oh', 'god']",sister scary monstrous behavior inside oh god,-1
"['leave', 'affection', 'kim', 'jong', 'un']",leave affection kim jong un,0
"['dictator', 'curse', 'everyone']",dictator curse everyone,0
"['randomly', 'scrolling', 'caught', 'eye', 'ended', 'watching', 'entire', 'thing', 'fascinating', 'well', 'put', 'together', 'documentary', 'dprk', 'always', 'intrigue']",randomly scrolling caught eye ended watching entire thing fascinating well put together documentary dprk always intrigue,0
"['sad', 'see', 'people', 'clapping', 'everytime', 'long']",sad see people clapping everytime long,-1
"['brainwashed', 'exactly', 'done', 'north', 'koreans', 'today']",brainwashed exactly done north koreans today,1
"['guys', 'know', 'anything', 'history', 'know', 'west', 'many', 'years', 'ago', 'took', 'claimed', 'wanted', 'things', 'women', 'families', 'kim', 'smart', 'guy', 'right', 'protect', 'country', 'makes', 'sure', 'past', 'arise']",guys know anything history know west many years ago took claimed wanted things women families kim smart guy right protect country makes sure past arise,1
"['still', 'alive']",still alive,0
"['brutal', 'communist', 'past']",brutal communist past,-1
"['kim', 'jong', 'un', 'holds', 'power', 'long', 'appeases', 'hardliners', 'within', 'government', 'military']",kim jong un holds power long appeases hardliners within government military,0
"['diddy', 'entered', 'chat']",diddy entered chat,0
"['keep', 'calling', 'assisins', 'clearly']",keep calling assisins clearly,1
"['running', 'drycleaners', 'middle', 'america', 'nobody', 'knows']",running drycleaners middle america nobody knows,0
"['north', 'korean', 'citizen', 'spot', 'hope', 'caught', 'watching', 'video', 'comment', 'confirm', 'alive']",north korean citizen spot hope caught watching video comment confirm alive,0
"['looks', 'like', 'chubby', 'bob', 'cat']",looks like chubby bob cat,0
"['wonder', 'winston', 'smith', 'crowd']",wonder winston smith crowd,0
"['warm', 'diarrhea', 'watching']",warm diarrhea watching,1
"['american', 'president', 'walk', 'travel', 'without', 'bodyguards', 'call', 'paranoir']",american president walk travel without bodyguards call paranoir,0
"['else', 'youth', 'days', 'day']",else youth days day,0
"['laugh', 'yet', 'capital', 'city', 'australia', 'body', 'built', 'us', 'ski', 'park']",laugh yet capital city australia body built us ski park,1
"['never', 'brother']",never brother,0
"['micheal', 'parker', 'lives', 'john', 'garland', 'blvd']",micheal parker lives john garland blvd,0
"['asian', 'version', 'hitler', 'stalin']",asian version hitler stalin,0
"['israel', 'dictatorship', 'usa', 'n', 'korea']",israel dictatorship usa n korea,0
"['like', 'reporters', 'telling', 'run', 'dry', 'cleaner', 'middle', 'america', 'way', 'put', 'identity', 'mean', 'said', 'nothing', 'living']",like reporters telling run dry cleaner middle america way put identity mean said nothing living,-1
"['would', 'girl', 'put', 'oil', 'someone', 'joke', 'anyway']",would girl put oil someone joke anyway,0
"['kim', 'jong', 'un', 'fata', 'north', 'korea']",kim jong un fata north korea,0
"['known', 'someone', 'killed', 'drop', 'hat', 'yet', 'allows', 'barber', 'live']",known someone killed drop hat yet allows barber live,0
"['want', 'see', 'one', 'poorest', 'country', 'world']",want see one poorest country world,0
"['yup', 'coz', 'rothchild', 'central', 'bank', 'enemy', 'disregarding', 'crimes', 'guantanamo', 'bay', 'fed', 'bias', 'us', 'empire', 'different', 'would', 'send', 'hit', 'men', 'latin', 'america', 'nice', 'guy', 'want', 'resources', 'us', 'debt', 'coming', 'country', 'kills', 'sitting', 'presidents']",yup coz rothchild central bank enemy disregarding crimes guantanamo bay fed bias us empire different would send hit men latin america nice guy want resources us debt coming country kills sitting presidents,1
"['literally', 'starving', 'people', 'amongst', 'horrific', 'things', 'country', 'needs', 'reformed']",literally starving people amongst horrific things country needs reformed,-1
"['pig', 'north', 'korea']",pig north korea,0
"['people', 'saw', 'kim', 'like']",people saw kim like,0
"['matter', 'usa', 'says', 'unless', 'meet', 'kim', 'jong', 'going', 'judge', 'belive', 'anything']",matter usa says unless meet kim jong going judge belive anything,0
"['fat', 'sit', 'horse']",fat sit horse,0
"['feel', 'sorry', 'horse']",feel sorry horse,-1
"['wonder', 'pay']",wonder pay,0
"['know', 'thinks', 'directions', 'could', 'go', 'country', 'end', 'easier', 'stay', 'course', 'already', 'place', 'continuing', 'traditions', 'expectations', 'father', 'grand', 'father']",know thinks directions could go country end easier stay course already place continuing traditions expectations father grand father,1
"['two', 'women', 'impacted', 'poison', 'hands']",two women impacted poison hands,0
"['let', 'play', 'game', 'try', 'face', 'gun', 'towards', 'supreme', 'leader']",let play game try face gun towards supreme leader,-1
"['fat', 'leader', 'dumb', 'kim', 'jonn', 'un', 'ahahah', 'mkst', 'dumd', 'leader']",fat leader dumb kim jonn un ahahah mkst dumd leader,-1
['worm'],worm,0
"['fake', 'really', 'learn', 'thing', 'movie', 'interview', 'lied', 'kim']",fake really learn thing movie interview lied kim,-1
"['sounds', 'like', 'dictator']",sounds like dictator,0
"['really', 'hope', 'suffering', 'many', 'adverts', 'minutes', 'minutes', 'advert', 'breaks', 'skip']",really hope suffering many adverts minutes minutes advert breaks skip,1
"['families', 'going', 'facing', 'rico', 'charges', 'paying', 'kid', 'rock', 'take', 'illuminati', 'freemason', 'epstein', 'network', 'going', 'give', 'back', 'stole']",families going facing rico charges paying kid rock take illuminati freemason epstein network going give back stole,0
"['best', 'thing', 'north', 'korea', 'corruption', 'country', 'like', 'north', 'korea']",best thing north korea corruption country like north korea,1
"['north', 'korea', 'world', 'largest', 'leftist', 'cult', 'california', 'second']",north korea world largest leftist cult california second,0
"['two', 'girls', 'deadly', 'nerve', 'agent', 'hand', 'get', 'exposed']",two girls deadly nerve agent hand get exposed,-1
"['kim', 'family', 'living', 'amongst', 'us', 'somewhere', 'aunt', 'uncle', 'fled', 'usa']",kim family living amongst us somewhere aunt uncle fled usa,0
"['intro', 'hilarious']",intro hilarious,1
"['pig', 'feed', 'communism', 'stalin']",pig feed communism stalin,0
"['imagine', 'family', 'demonizing', 'west', 'hard', 'sends', 'education', 'hatred', 'really', 'still', 'ideology', 'driven', 'shows', 'kims', 'merely', 'basking', 'luxuries', 'absolute', 'control', 'country', 'kim', 'il', 'sung', 'left', 'behind']",imagine family demonizing west hard sends education hatred really still ideology driven shows kims merely basking luxuries absolute control country kim il sung left behind,-1
"['looks', 'hilarious', 'horse']",looks hilarious horse,1
"['national', 'geographic', 'animals']",national geographic animals,0
"['journalist', 'put', 'aunt', 'uncle', 'risk', 'lying', 'came', 'covert', 'ops']",journalist put aunt uncle risk lying came covert ops,0
"['one', 'video', 'come', 'back', 'almost', 'every', 'single', 'night', 'fall', 'asleep']",one video come back almost every single night fall asleep,0
"['dident', 'know', 'people', 'cheer', 'coward']",dident know people cheer coward,0
"['kim', 'jong', 'un', 'abuse', 'fear', 'north', 'koreans', 'one', 'resilient', 'people', 'hopefully', 'overcome', 'one', 'day', 'coz', 'humans', 'much', 'fear']",kim jong un abuse fear north koreans one resilient people hopefully overcome one day coz humans much fear,1
"['look', 'fake', 'toys']",look fake toys,-1
"['someone', 'please', 'help', 'explain', 'two', 'women', 'affected', 'nerve', 'agent', 'wrap', 'head', 'around']",someone please help explain two women affected nerve agent wrap head around,0
"['screwed', 'tries', 'reform', 'would', 'chance', 'reformed', 'immediately', 'assuming', 'power', 'rather', 'continued', 'crazy', 'road', 'cult', 'personality', 'missed', 'bus']",screwed tries reform would chance reformed immediately assuming power rather continued crazy road cult personality missed bus,-1
"['th', 'largest', 'military', 'equipment', 'ancient']",th largest military equipment ancient,0
"['american', 'presidents', 'afraid', 'getting', 'assassinated', 'kim', 'jong', 'guess', 'havent', 'shut', 'north', 'korean', 'government', 'took', 'libyan', 'government', 'anerican', 'government', 'afraid', 'kim', 'jong', 'un']",american presidents afraid getting assassinated kim jong guess havent shut north korean government took libyan government anerican government afraid kim jong un,-1
"['defending', 'bloke', 'fascinates', 'nobody', 'see', 'jong', 'un', 'prisoner', 'father', 'died', 'said', 'allowed', 'leave', 'nk', 'would', 'forever', 'looking', 'shoulder', 'brother', 'killed', 'little', 'continue', 'system', 'governance', 'requires', 'give', 'gifts', 'loyalty', 'obviously', 'legacy', 'members', 'happy', 'status', 'quo', 'point', 'making', 'yes', 'maybe', 'king', 'cog', 'machine', 'still', 'prisoner', 'said', 'machine']",defending bloke fascinates nobody see jong un prisoner father died said allowed leave nk would forever looking shoulder brother killed little continue system governance requires give gifts loyalty obviously legacy members happy status quo point making yes maybe king cog machine still prisoner said machine,1
"['trump', 'wants']",trump wants,1
"['arsenal', 'tomiyasu', 'knives', 'thrown']",arsenal tomiyasu knives thrown,0
"['watch', 'nba', 'games', 'paris', 'wrote', 'line']",watch nba games paris wrote line,0
"['whoa', 'young', 'thin', 'kim', 'jong', 'un', 'looks', 'different', 'laughing', 'loud']",whoa young thin kim jong un looks different laughing loud,0
"['assassin', 'saying', 'know', 'thought', 'prank', 'bull', 'highly', 'doubt', 'paid', 'acting', 'dumb']",assassin saying know thought prank bull highly doubt paid acting dumb,0
"['world', 'doung', 'anything', 'save', 'slavery', 'north', 'korea', 'un', 'waste', 'north', 'korea', 'addressing', 'world']",world doung anything save slavery north korea un waste north korea addressing world,-1
"['save', 'north', 'korean', 'people']",save north korean people,0
['scary'],scary,-1
"['need', 'democratic', 'candidate', 'nk', 'rise', 'america', 'full', 'support']",need democratic candidate nk rise america full support,1
"['know', 'would', 'drop', 'dead', 'heart', 'attack', 'first', 'horse', 'rider', 'laughing', 'loud']",know would drop dead heart attack first horse rider laughing loud,0
"['unanswered', 'questions', 'sent', 'live', 'switzerland', 'time', 'sister', 'sweet', 'princess', 'leader']",unanswered questions sent live switzerland time sister sweet princess leader,1
"['north', 'korea', 'exports', 'regime', 'afford', 'run']",north korea exports regime afford run,0
"['felt', 'bad', 'poor', 'horse', 'forced', 'run', 'korean', 'land', 'whale', 'back', 'dear', 'fat', 'one', 'making', 'many', 'foolish', 'mistakes', 'providing', 'comedy', 'relief', 'world']",felt bad poor horse forced run korean land whale back dear fat one making many foolish mistakes providing comedy relief world,-1
"['still', 'get', 'nerve', 'agent', 'womans', 'hand', 'killed', 'kim', 'jong', 'nam', 'nerve', 'agent', 'absorbed', 'skin']",still get nerve agent womans hand killed kim jong nam nerve agent absorbed skin,0
"['wonderful', 'documentary', 'thank']",wonderful documentary thank,1
"['think', 'people', 'like', 'feeling', 'yes', 'needs', 'sent']",think people like feeling yes needs sent,0
"['suprised', 'horse', 'able', 'hold', 'props', 'horse']",suprised horse able hold props horse,1
"['feel', 'sorry', 'child']",feel sorry child,-1
"['call', 'first', 'lady']",call first lady,1
"['name', 'narattor', 'please']",name narattor please,0
"['call', 'wide', 'load', 'stables']",call wide load stables,0
"['poor', 'horse']",poor horse,-1
"['thank', 'sharing', 'documentaries', 'youtube', 'always', 'number', 'quality']",thank sharing documentaries youtube always number quality,0
"['ok', 'name', 'james', 'first', 'obvious', 'clue', 'turn', 'around', 'run', 'literal', 'life', 'james', 'riiiight']",ok name james first obvious clue turn around run literal life james riiiight,1
"['beware', 'wrath', 'god', 'bigger', 'anything', 'imagine']",beware wrath god bigger anything imagine,0
"['uncle', 'happy', 'nephew', 'shooting', 'missiles', 'dictator', 'hates', 'united', 'states', 'much', 'copies', 'everything']",uncle happy nephew shooting missiles dictator hates united states much copies everything,1
"['horse', 'get', 'flattened', 'weight']",horse get flattened weight,0
"['comrade', 'first', 'lady', 'romantic']",comrade first lady romantic,1
"['kim', 'jong', 'un', 'dictator', 'rejects', 'western', 'regimes', 'fought', 'outside', 'country', 'west', 'democratic', 'spreads', 'wars', 'countries']",kim jong un dictator rejects western regimes fought outside country west democratic spreads wars countries,0
"['displaying', 'process', 'intellectualization', 'allows', 'healing']",displaying process intellectualization allows healing,0
"['north', 'koreas', 'dilemma', 'leader', 'decided', 'live', 'hate']",north koreas dilemma leader decided live hate,-1
"['allow', 'hate', 'fuel', 'existence']",allow hate fuel existence,-1
"['south', 'korean', 'take', 'north', 'korean', 'war', 'ukraine', 'russia', 'put', 'light', 'north', 'korean', 'soldiers', 'first', 'soldiers', 'seem', 'mind', 'controlled', 'mentally', 'look', 'authority', 'moving', 'like', 'mother', 'may', 'skill', 'combats', 'sorry', 'knowledge', 'weaponry', 'everything', 'know', 'north', 'korean', 'know', 'march', 'put', 'show', 'ruling', 'dictator', 'know', 'war']",south korean take north korean war ukraine russia put light north korean soldiers first soldiers seem mind controlled mentally look authority moving like mother may skill combats sorry knowledge weaponry everything know north korean know march put show ruling dictator know war,0
"['plot', 'twist', 'assassinates', 'brother', 'becomes', 'next', 'ruler', 'north', 'korea']",plot twist assassinates brother becomes next ruler north korea,0
"['tailor', 'fear']",tailor fear,0
"['grew', 'watching', 'national', 'geographic', 'religiously', 'guys', 'best']",grew watching national geographic religiously guys best,1
"['music', 'beginning', 'piece', 'music', 'imagine', 'using', 'countries', 'leaders', 'would', 'look', 'like', 'darth', 'vader']",music beginning piece music imagine using countries leaders would look like darth vader,0
['recorded'],recorded,0
"['sounds', 'like', 'borgia', 'family']",sounds like borgia family,0
"['young', 'woman', 'know']",young woman know,0
"['wonder', 'kim', 'jong', 'un', 'seen', 'doc']",wonder kim jong un seen doc,0
"['true', 'stories', 'asian', 'men', 'women', 'look', 'lmao']",true stories asian men women look lmao,1
"['message', 'received', 'loud', 'clear']",message received loud clear,0
"['funny', 'koreans', 'reunite']",funny koreans reunite,1
"['know', 'kim', 'jong', 'un', 'hot']",know kim jong un hot,1
"['covid', 'made', 'nk', 'much', 'worse', 'bbc', 'doc', 'year', 'ago', 'states', 'people', 'dying', 'starvation', 'like', 'capitalist', 'regime', 'straight', 'terrifying', 'communism']",covid made nk much worse bbc doc year ago states people dying starvation like capitalist regime straight terrifying communism,-1
"['nikola', 'ever', 'went', 'north', 'korea', 'meet', 'wit', 'kim']",nikola ever went north korea meet wit kim,0
"['kim', 'like', 'definition', 'normal', 'person', 'playing', 'campaign', 'rule', 'world', 'least', 'slice', 'dude', 'literally', 'beat', 'system', 'laughing', 'loud', 'like', 'pit', 'bull', 'protecting', 'yard']",kim like definition normal person playing campaign rule world least slice dude literally beat system laughing loud like pit bull protecting yard,0
"['watching', 'documentary', 'known', 'north', 'korea', 'super', 'power', 'country', 'world', 'usa', 'afraid', 'receive', 'christmas', 'gift']",watching documentary known north korea super power country world usa afraid receive christmas gift,0
"['makes', 'almost', 'throw', 'see', 'crying', 'get', 'picture']",makes almost throw see crying get picture,-1
"['years', 'later', 'n', 'korea', 'supplies', 'russia', 'help', 'ukraine', 'invasion']",years later n korea supplies russia help ukraine invasion,0
"['strong', 'horse']",strong horse,1
"['nikola', 'kovačević', 'tipical', 'balkan', 'guy', 'always', 'meeting', 'interesting', 'persons']",nikola kovačević tipical balkan guy always meeting interesting persons,1
"['wonder', 'literally', 'owns', 'bigger', 'piece', 'land']",wonder literally owns bigger piece land,0
"['face', 'punchable']",face punchable,0
"['bet', 'ai', 'comments']",bet ai comments,0
"['capture', 'videos']",capture videos,0
"['poor', 'horse', 'hella', 'strong']",poor horse hella strong,0
"['poor', 'horse', 'overloaded']",poor horse overloaded,-1
"['obese', 'people', 'north', 'korea', 'starving']",obese people north korea starving,0
"['north', 'korean', 'propaganda', 'take', 'please']",north korean propaganda take please,0
"['legitimate', 'country', 'every', 'civilianphone', 'watch', 'cia', 'system', 'constitute', 'manupulate', 'cia', 'interest', 'systematic', 'american', 'subversion', 'state', 'level', 'thats', 'american', 'statehood', 'legitimacy']",legitimate country every civilianphone watch cia system constitute manupulate cia interest systematic american subversion state level thats american statehood legitimacy,0
"['think', 'north', 'korea', 'small', 'european', 'country', 'hungary', 'viktor', 'orbans', 'empire', 'deeper', 'dictatorship']",think north korea small european country hungary viktor orbans empire deeper dictatorship,-1
"['western', 'media', 'loves', 'label', 'every', 'rival', 'ruthless', 'dictator', 'often', 'ignores', 'mess', 'bad', 'actors', 'backyard']",western media loves label every rival ruthless dictator often ignores mess bad actors backyard,-1
"['north', 'korea', 'nuclear', 'weapons']",north korea nuclear weapons,0
"['tell', 'legitimate', 'country', 'talking', 'modern', 'world']",tell legitimate country talking modern world,1
"['admit', 'half', 'brother', 'working', 'cia', 'operative', 'paint', 'monster', 'neutralize', 'threat', 'weird', 'undeniably', 'biased', 'take']",admit half brother working cia operative paint monster neutralize threat weird undeniably biased take,-1
"['kim', 'jong', 'cruelty', 'peoples', 'enjoyed', 'abusing', 'christian', 'peoples', 'wants', 'b', 'god', 'everyone', 'must', 'worship', 'n', 'korea', 'collapsed', 'god', 'great', 'n', 'gd', 'hallelujah', 'amen']",kim jong cruelty peoples enjoyed abusing christian peoples wants b god everyone must worship n korea collapsed god great n gd hallelujah amen,1
"['horse', 'must', 'exhausted']",horse must exhausted,-1
"['think', 'likely', 'cia', 'killed', 'brother', 'send', 'message', 'brother', 'defect', 'gave', 'bad', 'information', 'something', 'else']",think likely cia killed brother send message brother defect gave bad information something else,-1
"['sounds', 'like', 'kim', 'jong', 'un', 'figurehead', 'sister', 'real', 'threat']",sounds like kim jong un figurehead sister real threat,1
['thank'],thank,0
"['without', 'china', 'regime', 'existed']",without china regime existed,0
"['wondering', 'earlier', 'kim', 'ever', 'get', 'see', 'rest', 'country']",wondering earlier kim ever get see rest country,0
"['really', 'really', 'worship', 'act', 'maybe', 'see', 'faces', 'brainwashed']",really really worship act maybe see faces brainwashed,1
"['incredible', 'guys', 'beside', 'kim', 'guns', 'aimed', 'right', 'soldier', 'beside', 'everything', 'gun', 'safety', 'window', 'laughing', 'loud']",incredible guys beside kim guns aimed right soldier beside everything gun safety window laughing loud,1
"['sister', 'scary', 'like', 'mean', 'character', 'movies']",sister scary like mean character movies,-1
"['north', 'korea', 'still', 'stuck', 'days', 'old']",north korea still stuck days old,0
"['everything', 'dictator', 'west', 'leaders']",everything dictator west leaders,0
['kids'],kids,0
"['clapping', 'much', 'beginning']",clapping much beginning,1
"['sister', 'looks', 'part', 'scary']",sister looks part scary,-1
"['documentary', 'really', 'understand', 'saying', 'subject', 'kim', 'jong', 'un', 'never', 'give', 'power', 'give', 'control', 'north', 'korean', 'people', 'much', 'money', 'much', 'influence', 'would', 'give', 'pr', 'tour', 'trying', 'modernize', 'image', 'make', 'look', 'different', 'father', 'grandfather', 'meets', 'world', 'leaders', 'feed', 'back', 'people', 'appear', 'even', 'important', 'sharing', 'stage', 'potus', 'south', 'korean', 'pm', 'appears', 'equal', 'knows', 'west', 'cares', 'appearances', 'well', 'tangles', 'juicy', 'carrot', 'facesl', 'intention', 'ever', 'striking', 'deal']",documentary really understand saying subject kim jong un never give power give control north korean people much money much influence would give pr tour trying modernize image make look different father grandfather meets world leaders feed back people appear even important sharing stage potus south korean pm appears equal knows west cares appearances well tangles juicy carrot facesl intention ever striking deal,1
"['dark', 'side', 'majinboo']",dark side majinboo,-1
"['soon', 'countries', 'make', 'documentaries', 'making', 'one', 'country', 'comparison', 'government', 'done', 'us', 'suddenly', 'foreign', 'leaders', 'seem', 'bad', 'believe', 'saddens', 'say']",soon countries make documentaries making one country comparison government done us suddenly foreign leaders seem bad believe saddens say,-1
"['one', 'day', 'going', 'die', 'gone', 'whole', 'different', 'life', 'maybe', 'forever', 'life', 'us']",one day going die gone whole different life maybe forever life us,0
"['believe', 'second', 'two', 'women', 'know', 'going', 'unbecoming', 'makers', 'doc', 'pretend', 'wannabe', 'actresses']",believe second two women know going unbecoming makers doc pretend wannabe actresses,0
"['bern', 'pronounced', 'burn', 'bearn', 'like', 'grizzly', 'bear']",bern pronounced burn bearn like grizzly bear,0
"['way', 'clap', 'depressing', 'feel', 'bad', 'north', 'korean', 'people']",way clap depressing feel bad north korean people,-1
"['even', 'weirder', 'one', 'thumbs', 'probable']",even weirder one thumbs probable,0
"['maybe', 'since', 'kim', 'jonun', 'weight', 'might', 'die', 'heart', 'attack', 'end', 'kim', 'jon', 'n']",maybe since kim jonun weight might die heart attack end kim jon n,0
"['really', 'enigmatic']",really enigmatic,0
"['escaped', 'bodyguard', 'make', 'action', 'movies', 'holiwood']",escaped bodyguard make action movies holiwood,0
"['national', 'geographic', 'usually', 'show', 'animals', 'right']",national geographic usually show animals right,0
"['hi', 'sky']",hi sky,0
"['bad', 'show', 'people', 'suffering', 'camps', 'children', 'complete', 'poverty', 'starvation', 'showed', 'fake', 'nk', 'really', 'outside', 'fake', 'city']",bad show people suffering camps children complete poverty starvation showed fake nk really outside fake city,-1
"['north', 'korea', 'would', 'exist', 'china', 'china', 'controls', 'n', 'k', 'completely', 'true', 'docu']",north korea would exist china china controls n k completely true docu,1
"['incredible', 'documentary', 'incredibly', 'disturbing', 'hard', 'fathom', 'regime', 'manipulates', 'people', 'controls', 'every', 'aspect', 'lives', 'stories', 'shared', 'defectors', 'truly', 'chilling', 'important', 'topic', 'often', 'gets', 'overlooked', 'hope', 'people', 'watch', 'understand', 'gravity', 'situation', 'north', 'korea', 'also', 'make', 'share', 'genuine', 'content']",incredible documentary incredibly disturbing hard fathom regime manipulates people controls every aspect lives stories shared defectors truly chilling important topic often gets overlooked hope people watch understand gravity situation north korea also make share genuine content,0
"['dhruv', 'rathi']",dhruv rathi,0
